Question #,Question,Type,Option 1,Option 2,Required
547,Toplantı ve kalabalık eğlencelerden hoşlanırım,Multiple choice,Evet,Hayır,TRUE
548,Elimdeyse açık saçık numaraların yapılacağı eğence yerlerine gitmem,Multiple choice,Evet,Hayır,TRUE
549,Karşıma çıkacak güçlüklerden korkak ve kaçarım,Multiple choice,Evet,Hayır,TRUE
550,Kapı mandallarını onarmaktan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
551,Bazen başkalarının kafamın içindekilerindi okuduğundan eminim,Multiple choice,Evet,Hayır,TRUE
552,Bilimsel yayınları okumaktan hoşlanırım,Multiple choice,Evet,Hayır,TRUE
553,Açık yerlerde veya geniş meydanlarda tek başıma kalmaktan korkarım,Multiple choice,Evet,Hayır,TRUE
554,Sıkıntım oldukça alkol alırım,Multiple choice,Evet,Hayır,TRUE
555,Bazen çıldıracakmış gibi olurum,Multiple choice,Evet,Hayır,TRUE
556,Kılık kıyafetime çok itina ederim,Multiple choice,Evet,Hayır,TRUE
557,Hayatı fazla ciddiye almıyorum,Multiple choice,Evet,Hayır,TRUE
558,Birçok kimseler kötü cinsel faaliyetlerinden dolayı suçludurlar,Multiple choice,Evet,Hayır,TRUE
559,Gece yarısı çoğunlukla korkuya kapıldığım olur,Multiple choice,Evet,Hayır,TRUE
560,Bir şeyi nereye koyduğumu unutmaktan çok şikayetçiyimdir,Multiple choice,Evet,Hayır,TRUE
561,Ailem benim için büyük bir dayanaktır,Multiple choice,Evet,Hayır,TRUE
562,Çocukken en fazla bağlandığım ve hayran kaldığım kimse bir kadındı,Multiple choice,Evet,Hayır,TRUE
563,Macera hikayelerini aşk hikayelerinden daha çok severim,Multiple choice,Evet,Hayır,TRUE
564,Yapmak istediğim fakat başkalarının beğenmediği bir işten kolayca vazgeçerim,Multiple choice,Evet,Hayır,TRUE
565,Yüksek bir yerde iken içimden atlama isteği gelir,Multiple choice,Evet,Hayır,TRUE
566,Sinemalardaki aşk sahnelerini severim,Multiple choice,Evet,Hayır,TRUE
